iter	Passed	Remaining
876	95580	13405
877	95684	13295
878	95787	13185
879	95891	13076
880	95988	12965
881	96092	12855
882	96189	12745
883	96289	12635
884	96384	12524
885	96475	12413
886	96576	12303
887	96671	12192
888	96768	12082
889	96874	11973
890	96974	11863
891	97086	11754
892	97178	11644
893	97279	11534
894	97389	11425
895	97496	11316
896	97583	11205
897	97684	11095
898	97794	10986
899	97877	10875
900	98020	10770
901	98120	10660
902	98220	10550
903	98330	10442
904	98430	10332
905	98516	10221
906	98666	10116
907	98767	10007
908	98857	9896
909	98960	9787
910	99057	9677
911	99156	9567
912	99258	9458
913	99349	9347
914	99442	9237
915	99555	9129
916	99657	9020
917	99768	8911
918	99876	8803
919	99968	8692
920	100071	8583
921	100167	8474
922	100268	8364
923	100377	8256
924	100481	8147
925	100580	8037
926	100683	7928
927	100779	7819
928	100883	7710
929	100976	7600
930	101069	7490
931	101178	7382
932	101282	7273
933	101385	7164
934	101491	7055
935	101580	6945
936	101692	6837
937	101791	6728
938	101884	6618
939	101985	6509
940	102085	6400
941	102180	6291
942	102293	6183
943	102394	6074
944	102504	5965
945	102609	5857
946	102708	5748
947	102811	5639
948	102909	5530
949	103020	5422
950	103126	5313
951	103222	5204
952	103315	5095
953	103418	4986
954	103526	4878
955	103621	4769
956	103732	4660
957	103849	4552
958	103953	4444
959	104045	4335
960	104157	4226
961	104257	4118
962	104353	4009
963	104469	3901
964	104568	3792
965	104668	3683
966	104779	3575
967	104884	3467
968	104980	3358
969	105097	3250
970	105202	3142
971	105294	3033
972	105396	2924
973	105501	2816
974	105594	2707
975	105691	2598
976	105809	2490
977	105910	2382
978	106001	2273
979	106129	2165
980	106227	2057
981	106327	1948
982	106441	1840
983	106543	1732
984	106633	1623
985	106746	1515
986	106846	1407
987	106939	1298
988	107044	1190
989	107140	1082
990	107234	973
991	107340	865
992	107445	757
993	107550	649
994	107674	541
995	107782	432
996	107898	324
997	108005	216
998	108132	108
999	108222	0
